,status,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
890,0,1,4,0,0.625,0.375,0.625,0,0,-1,3504,1,9,32,6,7,0,0.0,0.0
7579,0,2,10,0,0.160194175,0.839805825,0.160194175,1,1,-1,0,1,2,97,10,14,0,0.35051546391752575,0.35051546391752575
10299,0,0,7,0,0.19047619,0.80952381,0.19047619,1,1,5627,9424969,1,5,68,35,10,0,0.029411764705882353,0.029411764705882353
4006,0,0,5,1,0.333333333,0.666666667,0.333333333,0,0,-1,0,1,0,67,19,9,0,0.05970149253731343,0.05970149253731343
7825,1,0,2,0,0.25,0.75,0.25,1,1,6150,22700,0,5,26,17,6,1,0.0,0.0
9083,1,1,2,0,0.8,0.2,0.8,1,0,4394,5585999,0,2,39,31,6,0,0.0,0.0
11342,1,0,1,0,0.96969697,0.03030303,0.96969697,0,1,5554,926922,0,4,25,16,5,1,0.0,0.0
5898,0,0,15,0,0.0,0.0,0.0,0,0,-1,0,1,0,439,14,18,0,0.4806378132118451,0.4806378132118451
6173,1,1,2,0,0.692307692,0.307692308,0.692307692,1,0,-1,0,1,1,27,18,6,1,0.0,0.0
8637,0,1,12,4,1.0,0.0,1.0,0,0,2618,0,1,0,79,13,15,1,0.1518987341772152,0.1518987341772152
5819,0,0,31,1,1.0,0.0,1.0,0,0,8348,1,0,10,213,14,41,1,0.11737089201877934,0.11737089201877934
8550,1,0,2,0,0.953488372,0.046511628,0.953488372,0,0,6123,0,0,1,26,18,6,0,0.0,0.0
7563,1,1,8,0,0.22,0.78,0.22,1,0,5087,436109,1,4,66,19,12,0,0.0,0.0
2799,1,0,6,0,0.0,0.0,0.0,0,0,4386,0,1,3,70,22,9,0,0.0,0.0
8165,0,0,8,3,0.289156627,0.710843373,0.289156627,1,1,-1,0,1,2,97,17,12,0,0.18556701030927836,0.18556701030927836
584,0,1,6,1,1.0,0.0,1.0,0,0,5504,97555,1,5,51,22,9,1,0.0,0.0
3268,0,1,9,0,0.353658537,0.646341463,0.353658537,1,1,5813,0,1,0,67,18,12,0,0.1044776119402985,0.1044776119402985
3932,1,0,7,0,0.78200692,0.21799308,0.78200692,1,0,9285,121,0,7,54,15,10,1,0.0,0.0
4965,0,1,80,3,0.428571429,0.571428571,0.428571429,1,1,-1,0,1,0,426,14,97,0,0.04225352112676056,0.04225352112676056
1260,0,0,4,0,0.0,0.0,0.0,0,0,4633,8237707,1,0,36,19,8,0,0.0,0.0
10645,1,1,2,0,0.125,0.875,0.125,1,0,3206,379479,0,1,35,27,6,0,0.0,0.0
6199,0,1,3,2,0.902255639,0.097744361,0.902255639,0,0,1899,507771,1,1,29,13,7,0,0.0,0.0
310,0,0,5,0,1.0,0.0,1.0,0,0,1880,0,1,0,36,9,8,0,0.0,0.0
1716,1,0,2,0,0.984126984,0.015873016,0.984126984,0,1,5231,0,0,7,60,51,6,1,0.0,0.0
6489,1,0,8,0,0.857142857,0.142857143,0.857142857,1,1,8778,372124,0,5,69,18,11,1,0.0,0.0
7881,0,2,6,2,1.0,0.0,1.0,0,1,2199,0,1,2,63,23,10,0,0.0,0.0
8440,1,1,2,0,0.625,0.375,0.625,0,0,5160,0,0,8,37,30,5,0,0.0,0.0
7717,0,0,11,1,0.625,0.375,0.625,1,1,-1,4439212,1,2,79,11,16,0,0.0759493670886076,0.0759493670886076
4668,0,0,10,2,0.19047619,0.80952381,0.19047619,1,1,5615,0,1,5,63,38,13,0,0.0,0.0
4298,1,0,3,0,0.318181818,0.681818182,0.318181818,0,1,-1,200600,0,2,26,14,7,1,0.0,0.0
3783,1,0,4,0,0.214285714,0.785714286,0.214285714,0,0,4309,630249,0,2,38,15,8,0,0.0,0.0
1008,1,0,4,0,0.984375,0.015625,0.984375,0,0,-1,6084468,0,3,38,20,7,0,0.0,0.0
9544,1,0,3,0,0.590909091,0.409090909,0.590909091,1,1,5159,8007434,0,8,33,20,9,1,0.0,0.0
2185,0,0,3,0,0.132075472,0.867924528,0.132075472,1,1,-1,0,0,0,37,29,7,1,0.02702702702702703,0.02702702702702703
3623,0,0,6,0,0.19047619,0.80952381,0.19047619,1,1,5616,0,1,5,64,35,9,1,0.21875,0.21875
11185,0,1,2,0,0.0,1.0,0.0,1,0,2139,309382,1,7,26,10,5,1,0.038461538461538464,0.038461538461538464
7078,0,1,2,0,1.0,0.0,1.0,0,0,-1,0,1,0,26,18,6,0,0.0,0.0
11061,1,0,3,0,0.402439024,0.597560976,0.402439024,1,0,8515,8,0,10,45,16,6,1,0.0,0.0
8142,1,0,3,0,0.217821782,0.782178218,0.217821782,1,1,7296,589799,0,5,32,25,6,0,0.0,0.0
7278,1,1,6,0,0.994565217,0.005434783,0.994565217,0,0,-1,340,1,7,46,14,9,0,0.17391304347826086,0.17391304347826086
